Word,Meaning,Example 1,Example 2,Example 3,Memory Hook,Base Form,Subject,Chapter,Related Forms
Sapped,Gradually weakened.,Continuous wars sapped Mughal resources.,Internal conflicts sapped the empire's strength.,Corruption sapped public confidence.,Slowly weaken,Sap (Verb),Modern History,Decline of Mughals,"Sap, Sapping"
Dissensions,Disagreements causing division.,Internal dissensions weakened the nobility.,Political dissensions affected governance.,The empire suffered from growing dissensions.,Internal conflict,Dissension (Noun),Modern History,Decline of Mughals,"Dissent, Dissension"
Fortified,Strengthened with defenses.,Shivaji fortified many hill forts.,The city was heavily fortified against attacks.,The ruler fortified border regions.,Strengthen defenses,Fortify (Verb),Modern History,Decline of Mughals,"Fortify, Fortification"
Decree,An official order.,The emperor issued a decree on taxation.,A royal decree had the force of law.,The decree affected trade across the empire.,Royal order,Decree (Noun),Modern History,Decline of Mughals,Decreed
Culminating,Reaching the final result.,The decline of the empire culminated in its collapse.,"Tensions grew for years, culminating in rebellion.","The conflict ended, culminating in a peace treaty.",End result,Culminate (Verb),Modern History,Decline of Mughals,"Culminate, Culmination"
Impetus,A force or encouragement to start something.,Foreign invasions gave impetus to regional movements.,Economic growth provided impetus to trade.,The victory gave impetus to expansion.,Push forward,Impetus (Noun),Modern History,Decline of Mughals,-
Plebeian,Common or ordinary people.,The plebeian classes suffered during wars.,Many soldiers came from plebeian backgrounds.,Taxes affected plebeian families the most.,Common people,Plebeian (Noun/Adjective),Modern History,Decline of Mughals,Plebeians
Beset,Surrounded by problems.,The Mughal Empire was beset by rebellions.,The ruler was beset with administrative difficulties.,The kingdom was beset by economic troubles.,Surrounded by problems,Beset (Verb),Modern History,Decline of Mughals,Besetting
Spectre,A feared possibility or threat.,The spectre of invasion worried many rulers.,The spectre of political instability haunted the empire.,The spectre of famine troubled the population.,Looming threat,Spectre (Noun),Modern History,Decline of Mughals,Spectral
Antiquity,Ancient times; very old period in history.,India had trade relations with Europe since antiquity.,The ports of western India were famous from antiquity.,Historians study antiquity to understand early civilizations.,Ancient times,Antiquity (Noun),Modern History,Advent of the Europeans,"Ancient, Antiquities"
Ceased,Stopped; came to an end.,Direct trade between Europe and Asia ceased after certain conflicts.,Some trade routes ceased to be profitable.,The war ceased after a peace agreement.,Stop,Cease (Verb),Modern History,Advent of the Europeans,"Cease, Ceasing, Cessation"
Renaissance,"Revival of learning, art, science, and culture in Europe.",The Renaissance encouraged Europeans to explore new lands.,Scientific thinking grew during the Renaissance.,The Renaissance transformed European society.,Rebirth,Renaissance (Noun),Modern History,Advent of the Europeans,Renaissance
Zeal,Great enthusiasm or eagerness.,Portuguese sailors explored new routes with great zeal.,Missionaries spread Christianity with religious zeal.,His zeal for exploration inspired many sailors.,Enthusiasm,Zeal (Noun),Modern History,Advent of the Europeans,"Zealous, Zealously"
Aggravating,Making a problem worse.,Heavy taxes were aggravating public discontent.,Rivalries were aggravating tensions among European powers.,The conflict was aggravated by economic competition.,Make worse,Aggravate (Verb),Modern History,Advent of the Europeans,"Aggravate, Aggravated, Aggravation"
Overlords,Rulers who control other rulers or territories.,Local chiefs paid tribute to their overlords.,The Portuguese tried to act as overlords of Indian Ocean trade.,Many kingdoms accepted powerful emperors as overlords.,Supreme ruler,Overlord (Noun),Modern History,Advent of the Europeans,"Overlord, Overlordship"
Levied,Imposed or collected a tax.,The Portuguese levied duties on ships.,The rulers levied taxes on traders.,Customs duties were levied at major ports.,Impose tax,Levy (Verb),Modern History,Advent of the Europeans,"Levy, Levying"
Calamities,Great disasters or misfortunes.,Famines and wars were major calamities of the period.,Natural calamities affected trade and agriculture.,The kingdom suffered repeated calamities.,Disaster,Calamity (Noun),Modern History,Advent of the Europeans,"Calamity, Calamitous"
Levant,Eastern Mediterranean region.,European merchants traded through the Levant.,The Ottoman Empire controlled many Levant routes.,Goods from Asia reached Europe through the Levant.,Eastern Mediterranean,Levant (Proper Noun),Modern History,Advent of the Europeans,Levantine
Consolidated,Strengthened or united.,The Portuguese consolidated their position in Goa.,European companies consolidated control over trade.,The Mughal Empire consolidated its authority under Akbar.,Strengthen,Consolidate (Verb),Modern History,Advent of the Europeans,"Consolidate, Consolidation"
Levy,A tax imposed by authority; also means to impose a tax.,Traders had to pay a levy on imported goods.,The levy increased government revenue.,The rulers levied duties on merchants.,Tax,Levy (Noun/Verb),Modern History,Advent of the Europeans,"Levied, Levying"
Antagonism,Strong opposition or hostility.,Antagonism grew between European trading powers.,Religious antagonism often led to conflict.,Political antagonism weakened alliances.,Hostility,Antagonism (Noun),Modern History,Advent of the Europeans,"Antagonize, Antagonistic"
Armament,Military weapons and equipment.,European ships carried powerful armaments.,Naval armaments gave Europeans an advantage.,The kingdom invested heavily in armaments.,Weapons,Armament (Noun),Modern History,Advent of the Europeans,Armaments
Arsenals,Places where weapons are stored or manufactured.,The Portuguese built arsenals near coastal forts.,Arsenals supplied weapons to naval fleets.,The kingdom maintained large arsenals.,Weapon storehouse,Arsenal (Noun),Modern History,Advent of the Europeans,Arsenal
Filigree Work,Delicate ornamental work made from fine metal wires.,Indian craftsmen were famous for filigree work.,European travelers admired Indian filigree jewelry.,Filigree work was an important export item.,Fine metal art,Filigree (Noun),Modern History,Advent of the Europeans,Filigree
Fretted Foliage,Decorative carved leaf patterns used in art and architecture.,Many buildings contained fretted foliage designs.,European visitors praised Indian decorative art.,Temples often displayed intricate fretted foliage.,Leaf carvings,"Fretted (Adjective), Foliage (Noun)",Modern History,Advent of the Europeans,"Fret, Foliage"
Accredited,Officially recognized or authorized.,Accredited agents represented trading companies.,The ambassador was accredited to the royal court.,Only accredited representatives could negotiate treaties.,Official approval,Accredit (Verb),Modern History,Advent of the Europeans,"Accredit, Accreditation"
Reluctant,Unwilling; hesitant.,Some rulers were reluctant to grant trading privileges.,The merchants were reluctant to take risks.,The emperor was reluctant to trust foreigners.,Hesitant,Reluctant (Adjective),Modern History,Advent of the Europeans,"Reluctance, Reluctantly"
Stewardship,Responsible management or care.,The governor was praised for his stewardship of the colony.,Good stewardship improved administration.,Effective stewardship increased trade revenues.,Responsible management,Stewardship (Noun),Modern History,Advent of the Europeans,"Steward, Stewardship"
Scuffle,"A short, confused fight or struggle.",A scuffle broke out between rival groups in the Nawab's court.,The soldiers were involved in a scuffle near the fort.,Minor scuffles often preceded larger conflicts.,Small fight,Scuffle (Noun/Verb),Modern History,Advent of the Europeans,"Scuffle, Scuffled, Scuffling"
Pretext,A false reason given to hide the real reason.,The British used a trade dispute as a pretext for intervention.,The Company found a pretext to interfere in local politics.,A minor incident became the pretext for war.,Fake excuse,Pretext (Noun),Modern History,Advent of the Europeans,Pretexts
Bestowed,"To give or grant an honor, title, or gift.",The Mughal emperor bestowed titles upon loyal nobles.,Land grants were bestowed on military commanders.,The ruler bestowed rewards on successful officials.,Official gift,Bestow (Verb),Modern History,Advent of the Europeans,"Bestow, Bestowing, Bestowal"
Oust,To remove from power or position.,The British ousted many local rulers.,Rival nobles attempted to oust the regent.,Siraj-ud-Daulah was eventually ousted from power.,Remove from power,Oust (Verb),Modern History,Advent of the Europeans,"Ousted, Ousting"
Henceforth,From this time onward.,"Henceforth, the Company would collect revenue directly.",The treaty declared that henceforth peace would be maintained.,"Henceforth, British influence increased rapidly.",From now on,Henceforth (Adverb),Modern History,Advent of the Europeans,-
Reluctance,Unwillingness; hesitation.,The Nawab showed reluctance to accept British demands.,There was reluctance among rulers to trust foreign traders.,His reluctance delayed the agreement.,Hesitation,Reluctance (Noun),Modern History,Advent of the Europeans,"Reluctant, Reluctantly"
Ascendance,"Rise to power, influence, or dominance.",The Battle of Plassey marked the ascendance of British power.,British ascendance changed the political landscape of India.,The Company's military success led to its ascendance.,Rise to power,Ascendance (Noun),Modern History,Advent of the Europeans,"Ascend, Ascendant"
Cede,"To give up territory, rights, or power officially.",The ruler was forced to cede territory to the Company.,Several states ceded land after defeat.,The treaty required the Nawab to cede important districts.,Give up,Cede (Verb),Modern History,Advent of the Europeans,"Ceded, Ceding"
Relegated,To move to a lower position or less important status.,The Mughal emperor was relegated to a symbolic role.,Indian rulers were relegated to secondary positions.,Traditional authorities were relegated by British administration.,Pushed down,Relegate (Verb),Modern History,Advent of the Europeans,"Relegate, Relegation"
Disunity,Lack of unity; division among people.,Indian disunity helped the British expand their control.,Political disunity weakened resistance.,The kingdom suffered from internal disunity.,Division,Disunity (Noun),Modern History,Advent of the Europeans,Unity
Espionage,The practice of spying to obtain secret information.,The Company relied on espionage to gather intelligence.,Espionage played an important role in warfare.,British agents engaged in espionage within rival courts.,Secret spying,Espionage (Noun),Modern History,Advent of the Europeans,"Spy, Espionage"
Thwarted,Prevented someone from succeeding.,The Nawab's plans were thwarted by British diplomacy.,Several rebellions were thwarted before they gained strength.,The British thwarted attempts to unite against them.,Prevent success,Thwart (Verb),Modern History,Advent of the Europeans,"Thwart, Thwarting"
Regent,A person who rules on behalf of a monarch who cannot rule.,The regent governed until the young prince came of age.,The queen mother acted as regent.,A regent often exercised significant authority.,Temporary ruler,Regent (Noun),Modern History,Advent of the Europeans,Regency
Embodiment,A perfect example or representation of something.,Clive became the embodiment of British ambition in India.,The fort was considered an embodiment of military strength.,The ruler was seen as the embodiment of justice.,Perfect example,"Embody (Verb), Embodiment (Noun)",Modern History,Advent of the Europeans,"Embody, Embodied"
Deter,To discourage or prevent an action.,Strong defenses deterred enemy attacks.,The British sought to deter rebellions through military force.,Severe punishments were used to deter resistance.,Prevent,Deter (Verb),Modern History,Advent of the Europeans,"Deterrence, Deterred"
Licentiousness,Excessive freedom without moral restraint; immoral behavior.,Some historians criticized the court for licentiousness.,Licentiousness among nobles damaged their reputation.,The ruler was accused of encouraging licentiousness.,Immoral excess,"Licentious (Adjective), Licentiousness (Noun)",Modern History,Advent of the Europeans,Licentious
Dire,"Extremely serious, urgent, or terrible.",The kingdom faced a dire financial crisis.,The defeat created a dire situation for the Nawab.,Farmers suffered under dire economic conditions.,Very serious,Dire (Adjective),Modern History,Advent of the Europeans,Direness
Prowess,"Great skill, ability, or expertise.",The British demonstrated military prowess in several battles.,Clive's military prowess helped the Company expand its influence.,The Company's naval prowess gave it an advantage in trade.,Exceptional skill,Prowess (Noun),Modern History,Economic and Administrative Policies under the British,Prowess
Confiscated,Seized property by authority.,The British confiscated the lands of rebellious zamindars.,Property was confiscated from those who failed to pay taxes.,The government confiscated estates after the revolt.,Seize property,Confiscate (Verb),Modern History,Economic and Administrative Policies under the British,"Confiscate, Confiscation"
Lessees,A person who takes land or property on lease.,The Company appointed lessees to collect revenue.,Many lessees exploited peasants for higher profits.,The lessees were responsible for paying fixed revenue.,Lease holder,Lessee (Noun),Modern History,Economic and Administrative Policies under the British,"Lessee, Lessor"
Exorbitant,Excessively high or unreasonable.,Peasants had to pay exorbitant taxes.,The Company demanded exorbitant land revenue.,Exorbitant rates pushed many farmers into debt.,Extremely expensive,Exorbitant (Adjective),Modern History,Economic and Administrative Policies under the British,Exorbitantly
Erstwhile,Former; previous.,The erstwhile rulers lost their authority.,Many erstwhile nawabs became pensioners.,The British replaced the erstwhile administrative system.,Former,Erstwhile (Adjective),Modern History,Economic and Administrative Policies under the British,-
Coercive,Using force or pressure to make someone do something.,The British often adopted coercive policies.,Coercive revenue collection burdened peasants.,Farmers were subjected to coercive measures.,Force people,"Coerce (Verb), Coercive (Adjective)",Modern History,Economic and Administrative Policies under the British,"Coerce, Coercion"
Bullion,Gold or silver in bulk form.,European traders initially brought bullion to India.,India attracted large amounts of bullion due to its trade surplus.,Precious bullion was exchanged for Indian goods.,Gold and silver,Bullion (Noun),Modern History,Economic and Administrative Policies under the British,-
Vehement,Showing strong emotion or force.,Indian leaders expressed vehement opposition to British policies.,There was vehement criticism of excessive taxation.,The peasants voiced vehement protests.,Strong feeling,Vehement (Adjective),Modern History,Economic and Administrative Policies under the British,Vehemently
Enunciation,Clear statement or declaration of an idea or policy.,Dadabhai Naoroji's enunciation of the Drain Theory was influential.,The enunciation of new revenue policies changed administration.,The governor's enunciation of reforms received attention.,Formal declaration,"Enunciate (Verb), Enunciation (Noun)",Modern History,Economic and Administrative Policies under the British,Enunciate
Extravagant,Excessive or wasteful spending.,Some rulers maintained extravagant lifestyles.,Extravagant expenditure weakened state finances.,The court was known for its extravagant ceremonies.,Wasteful,Extravagant (Adjective),Modern History,Economic and Administrative Policies under the British,Extravagance
Impoverishment,The process of becoming poor.,British policies contributed to the impoverishment of artisans.,The impoverishment of peasants increased during famines.,Economic exploitation led to widespread impoverishment.,Becoming poorer,"Impoverish (Verb), Impoverishment (Noun)",Modern History,Economic and Administrative Policies under the British,Impoverish
Covenants,A formal agreement or contract.,Company officials signed covenants before taking office.,Several covenants regulated administrative conduct.,The covenant specified the duties of the officer.,Official agreement,Covenant (Noun),Modern History,Economic and Administrative Policies under the British,Covenant
Vociferous,Loud and forceful in expressing opinions.,There was vociferous opposition to unfair taxation.,Nationalist leaders made vociferous demands for reforms.,The peasants voiced vociferous complaints.,Loud protest,Vociferous (Adjective),Modern History,Economic and Administrative Policies under the British,Vociferously
Plight,Difficult or unfortunate situation.,The plight of Indian peasants worsened under colonial rule.,Reformers highlighted the plight of workers.,The famine revealed the plight of rural society.,Hard situation,Plight (Noun),Modern History,Economic and Administrative Policies under the British,-
Teeming,Full of; crowded with.,Calcutta became a teeming commercial city.,The markets were teeming with traders.,Ports were teeming with economic activity.,Full of activity,"Teem (Verb), Teeming (Adjective)",Modern History,Economic and Administrative Policies under the British,"Teem, Teemed"
Quell,To suppress or put an end to something.,The British used force to quell revolts.,Troops were sent to quell peasant uprisings.,The administration struggled to quell unrest.,Suppress,Quell (Verb),Modern History,Economic and Administrative Policies under the British,"Quelled, Quelling"
Usher,To lead or bring about the beginning of something.,British rule ushered in new administrative systems.,The Industrial Revolution ushered in major economic changes.,New policies ushered in a period of reform.,Bring in,Usher (Verb/Noun),Modern History,Economic and Administrative Policies under the British,"Ushered, Ushering"
Conformity,"Following accepted rules, customs, or traditions.",Reformers challenged blind conformity to old customs.,Society expected conformity to traditional practices.,Raja Ram Mohan Roy opposed conformity when it promoted social evils.,Following the crowd,"Conform (Verb), Conformity (Noun)",Modern History,Socio-Religious Reform Movement,"Conform, Conforming"
Bourgeoisie,"Middle class, especially educated and business-owning people.",The Indian bourgeoisie supported many reform movements.,The educated bourgeoisie demanded social reforms.,Newspapers were largely run by the emerging bourgeoisie.,Educated middle class,Bourgeoisie (Noun),Modern History,Socio-Religious Reform Movement,Bourgeois
Assimilated,Absorbed and adopted ideas or culture.,Reformers assimilated Western ideas with Indian traditions.,Indian society gradually assimilated modern education.,Some communities assimilated foreign influences.,Absorb,Assimilate (Verb),Modern History,Socio-Religious Reform Movement,"Assimilate, Assimilation"
Obscurantism,"Opposition to knowledge, education, or progress.",Reformers fought against obscurantism.,Obscurantism hindered social development.,Modern education challenged obscurantism.,Keep people ignorant,Obscurantism (Noun),Modern History,Socio-Religious Reform Movement,Obscurantist
Obsolescence,State of becoming outdated.,Reformers argued for the obsolescence of harmful customs.,Social changes led to the obsolescence of many practices.,New ideas accelerated cultural obsolescence.,Outdated,Obsolete (Adjective),Modern History,Socio-Religious Reform Movement,"Obsolete, Obsolescent"
Hark Back,To return mentally to the past.,Revivalists often harked back to ancient traditions.,Some reformers did not want society to merely hark back to the past.,Nationalists frequently harked back to India's ancient achievements.,Look back,Hark Back (Phrase),Modern History,Socio-Religious Reform Movement,-
Contemporary,Belonging to the same time; modern.,Vivekananda was a contemporary of many reformers.,Contemporary issues required modern solutions.,Contemporary society was undergoing rapid change.,Same period,Contemporary (Adjective/Noun),Modern History,Socio-Religious Reform Movement,"Contemporaries, Contemporaneous"
Repudiated,Rejected strongly.,Reformers repudiated caste discrimination.,Many thinkers repudiated social injustice.,The movement repudiated outdated customs.,Strongly reject,Repudiate (Verb),Modern History,Socio-Religious Reform Movement,"Repudiate, Repudiation"
Crusading,Campaigning strongly for a cause.,Reformers were crusading against social evils.,He spent his life crusading for women's rights.,Many newspapers were crusading for reform.,Fighting for a cause,Crusade (Noun/Verb),Modern History,Socio-Religious Reform Movement,"Crusade, Crusader"
Preached,Taught or promoted an idea.,Vivekananda preached universal brotherhood.,Reformers preached equality and education.,The movement preached social harmony.,Spread ideas,Preach (Verb),Modern History,Socio-Religious Reform Movement,"Preach, Preacher, Preaching"
Emissary,A representative sent on a mission.,The organization sent emissaries across India.,Religious groups appointed emissaries to spread their ideas.,The emissary carried important messages.,Official messenger,Emissary (Noun),Modern History,Socio-Religious Reform Movement,Emissaries
Authoritarianism,Belief in strict obedience to authority.,Reformers opposed authoritarianism in social institutions.,Excessive authoritarianism suppressed free thinking.,Education challenged authoritarian attitudes.,Rule by strict authority,Authoritarian (Adjective),Modern History,Socio-Religious Reform Movement,"Authoritarian, Authoritarianly"
Impetus,Force that encourages action.,Western education gave impetus to reform movements.,New ideas provided impetus for change.,The movement gained impetus from public support.,Push / boost,Impetus (Noun),Modern History,Socio-Religious Reform Movement,-
Shunning Vices,Avoiding bad habits.,Reformers advocated shunning vices like alcoholism.,Many organizations promoted shunning social evils.,Youth were encouraged to practice self-discipline by shunning vices.,Avoid bad habits,"Shun (Verb), Vice (Noun)",Modern History,Socio-Religious Reform Movement,"Shun, Shunning, Vice, Vices"
Conscript,A person forced into military service.,Some colonial governments used conscripts in their armies.,Young men were conscripted during wars.,The conscript served unwillingly.,Forced soldier,Conscript (Noun/Verb),Modern History,Socio-Religious Reform Movement,"Conscripted, Conscription"
Derozians,Followers of Henry Louis Vivian Derozio.,The Derozians promoted rational thinking.,Derozians challenged orthodox beliefs.,Many Derozians supported social reforms.,Followers of Derozio,Derozian (Noun),Modern History,Socio-Religious Reform Movement,Derozian
Excite Veneration,To inspire deep respect.,Ancient scriptures continued to excite veneration among followers.,Great leaders excite veneration even today.,Vivekananda's teachings excited veneration among many Indians.,Inspire respect,"Excite (Verb), Veneration (Noun)",Modern History,Socio-Religious Reform Movement,"Excite, Venerate, Veneration"
Steeped,Deeply immersed in something.,Society was steeped in traditional customs.,He was steeped in religious learning.,The movement emerged from a society steeped in orthodoxy.,Deeply immersed,Steep (Verb),Modern History,Socio-Religious Reform Movement,"Steep, Steeping"
Theism,Belief in God.,The Brahmo Samaj promoted monotheistic theism.,Theism remained central to many reform movements.,Different forms of theism emerged during the period.,Belief in God,Theism (Noun),Modern History,Socio-Religious Reform Movement,"Theist, Theistic"
Loincloth,A simple cloth worn around the waist.,Many ascetics wore only a loincloth.,Traditional saints often dressed in a loincloth.,"The reformer lived simply, wearing a loincloth.",Simple clothing,Loincloth (Noun),Modern History,Socio-Religious Reform Movement,Loincloths
Infallible,Never wrong or incapable of making mistakes.,Reformers argued that no human being is infallible.,Blind belief in infallible authority was criticized.,Scientific thinking rejects claims of infallibility.,Cannot be wrong,Infallible (Adjective),Modern History,Socio-Religious Reform Movement,Infallibility
Dispelled,"Removed doubts, fears, or false beliefs.",Education dispelled many superstitions.,Reformers dispelled myths about social practices.,Scientific knowledge dispelled ignorance.,Remove,Dispel (Verb),Modern History,Socio-Religious Reform Movement,"Dispel, Dispelling"
Theologians,Scholars of religion.,Theologians debated religious reforms.,Many theologians opposed social changes.,Reformers engaged theologians in discussions.,Religious scholar,Theologian (Noun),Modern History,Socio-Religious Reform Movement,"Theologian, Theology"
Venerated,Respected deeply.,Ancient texts were venerated by society.,Saints were highly venerated.,The reformer was venerated for his contributions.,Deeply respected,Venerate (Verb),Modern History,Socio-Religious Reform Movement,"Venerate, Veneration"
Trances,A state of deep concentration or unconsciousness.,Some mystics entered trances during meditation.,Religious rituals sometimes involved trances.,Followers believed spiritual truths were revealed in trances.,Deep meditation,Trance (Noun),Modern History,Socio-Religious Reform Movement,Trance
Toiling,Working very hard.,Farmers were toiling under difficult conditions.,Laborers spent long hours toiling.,The poor were constantly toiling for survival.,Hard work,Toil (Verb),Modern History,Socio-Religious Reform Movement,"Toil, Toiled, Toiling"
Chauvinism,Extreme and unreasonable pride in one's group.,Reformers warned against religious chauvinism.,Chauvinism often creates social divisions.,National chauvinism can lead to conflict.,Blind pride,Chauvinism (Noun),Modern History,Socio-Religious Reform Movement,Chauvinist
Occultism,Belief in mysterious supernatural powers.,Reformers opposed blind faith in occultism.,Occultism attracted some sections of society.,Scientific education challenged occultism.,Mystical magic,Occult (Adjective),Modern History,Socio-Religious Reform Movement,"Occult, Occultist"
Impasse,A situation where no progress is possible.,The debate reached an impasse.,Reform efforts faced an impasse due to opposition.,Negotiations ended in an impasse.,Deadlock,Impasse (Noun),Modern History,Socio-Religious Reform Movement,-
Emancipation,Freedom from restrictions or oppression.,Reformers worked for the emancipation of women.,Education aided social emancipation.,Emancipation became a major goal of reform movements.,Freedom,Emancipate (Verb),Modern History,Socio-Religious Reform Movement,"Emancipate, Emancipated"
Pyre,A pile of wood used for cremation.,Sati involved a funeral pyre.,Reformers campaigned against women being forced onto the pyre.,The custom was eventually abolished.,Funeral fire,Pyre (Noun),Modern History,Socio-Religious Reform Movement,Pyres
Perish,To die or be destroyed.,Many people perished during famines.,Reformers feared that valuable traditions would perish.,Thousands perished due to disease.,Die,Perish (Verb),Modern History,Socio-Religious Reform Movement,"Perished, Perishing"
Endorsing,Supporting or approving.,Some leaders endorsed social reforms.,Newspapers endorsed progressive ideas.,The organization endorsed women's education.,Support,Endorse (Verb),Modern History,Socio-Religious Reform Movement,"Endorse, Endorsement"
